City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Chiredzi,ZW,-21.05,31.6667,23.86,76,92,0.91,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,26.52,74,33,6.14,scattered clouds
2,Opuwo,NA,-18.0607,13.84,21.24,41,94,3.96,overcast clouds
3,Jamestown,US,42.097,-79.2353,5.53,56,0,2.57,clear sky
4,Lebu,CL,-37.6167,-73.65,18.13,78,2,5.4,clear sky
5,Carnarvon,AU,-24.8667,113.6333,25.95,72,24,7.44,few clouds
6,New Norfolk,AU,-42.7826,147.0587,14.72,68,100,0.51,overcast clouds
7,Tomatlan,MX,19.9333,-105.25,29.66,45,2,4.05,clear sky
8,Narsaq,GL,60.9167,-46.05,-10.88,95,100,3.64,snow
9,Hermanus,ZA,-34.4187,19.2345,21.0,76,0,7.62,clear sky
10,Port Augusta,AU,-32.5,137.7667,25.15,23,0,1.61,clear sky
11,Beringovskiy,RU,63.05,179.3167,-33.51,96,27,2.38,scattered clouds
12,Tiksi,RU,71.6872,128.8694,-40.12,99,56,2.58,broken clouds
13,Coquimbo,CL,-29.9533,-71.3436,20.85,73,0,6.69,clear sky
14,Muroto,JP,33.2833,134.15,9.27,66,42,6.24,scattered clouds
15,Halifax,CA,44.6453,-63.5724,4.27,68,75,7.2,broken clouds
16,Ca Mau,VN,9.1769,105.15,24.42,88,10,3.79,clear sky
17,Faanui,PF,-16.4833,-151.75,26.99,73,20,5.12,few clouds
18,Parrita,CR,9.5201,-84.3225,29.73,60,12,2.88,few clouds
19,Albany,US,42.6001,-73.9662,7.81,54,9,0.45,clear sky
20,Ancud,CL,-41.8697,-73.8203,18.12,77,13,4.16,few clouds
21,Marsaxlokk,MT,35.8419,14.5431,10.34,93,40,6.17,scattered clouds
22,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,26.35,73,90,3.38,overcast clouds
23,Arraial Do Cabo,BR,-22.9661,-42.0278,26.98,78,40,4.63,thunderstorm
24,Hobart,AU,-42.8794,147.3294,13.92,80,75,2.06,broken clouds
25,Pinega,RU,64.7001,43.3936,-4.82,91,88,5.04,overcast clouds
26,Vaini,TO,-21.2,-175.2,28.09,83,75,1.03,light rain
27,Chuy,UY,-33.6971,-53.4616,25.03,76,100,5.58,overcast clouds
28,Avarua,CK,-21.2078,-159.775,28.03,74,20,5.66,few clouds
29,Port Alfred,ZA,-33.5906,26.891,20.1,94,100,2.37,heavy intensity rain
30,Saskylakh,RU,71.9167,114.0833,-38.84,100,91,2.58,overcast clouds
31,Aklavik,CA,68.2191,-135.0107,-29.0,76,75,1.03,broken clouds
32,Bonavista,CA,48.6499,-53.1147,-1.09,95,100,8.14,overcast clouds
33,Dossor,KZ,47.5272,52.9811,-12.77,89,5,4.53,clear sky
34,Harper,LR,4.375,-7.7169,26.17,84,100,2.26,overcast clouds
35,Iranshahr,IR,27.2025,60.6848,21.19,37,0,2.06,clear sky
36,Mataura,NZ,-46.1927,168.8643,9.71,91,96,3.57,overcast clouds
37,Esperance,AU,-33.8667,121.9,19.03,71,100,5.48,overcast clouds
